,idx,msg_txt,annotation
0,0,"  In Kyiv, fragments of a downed rocket damaged a car in Shevchenko district, the city military administration reported.    @babel ",1
1,1,"  Kyiv region is attacked by drones again, air defense is working.    @babel ",1
2,2,  Explosions are also heard in the capital. Air defense is working.    @babel ,1
3,4,  Kyiv region is attacked by drones - Kuleba  We are standing.    Our air defense is working 🔥💪🏻  Stay in safe places.    https//t.me/operativnoZSU ,1
5,5,  The rocket that fell in Shevchenkivskyi district  https//t.me/operativnoZSU ,0
6,6,"  Current alarm map.     Makariv head (Kyiv region) reported on the work of air defense, but the threat of katzapolitans continues  https//t.me/operativnoZSU ",1
8,9,"  ❎SUBSCRIBE  2 minutes, happy holidays everyone!    Send news to @Kharkiv_Lifebot 👉 SUBSCRIBE ",0
9,10,"  The governor confirmed the air defense work over Belgorod and the Belgorod region.    ""Four shells of MLRS were shot down. According to preliminary information, there were no casualties. In the village of Novaya Nelidovka, windows were broken in four private houses. A door-to-door canvass of the area continues,"" said Governor Vyacheslav Gladkov.    Send news @Kharkiv_Lifebot 👉 SUBSCRIBE ",1
10,11,  Kharkov military congratulates orcs with the New Year  Send news 👉 @Kharkiv_Lifebot 👉 SUBSCRIBE ,0
12,13,"  Kyiv region is attacked by drones  ""We are standing. Our air defense is working. Stay in safe places"", - the head of the Kyiv Regional Military Administration Kuleba. ",1
13,14,"  The KCSA reminds - the alert continues, it is too early to come out of the shelters, the terrorist threat continues!  https//t.me/operativnoZSU ",1
14,15,  ❗️Some explosions in the center of Kiev. At least five.  More details in our Kyiv channel - https//t.me/KyivPolitics  Insider UA | Subscribe ,1
16,17,"  How pathetic Russians are to think that these terrorist attacks will affect our thirst for freedom and liberty.     Each of their attacks proves even more - we have different ways of development - they have swamps and medievalism, and we are moving forward and democratic development with innovations.    https//t.me/operativnoZSU ",0
17,18,  How do you spend New Year's Eve? ,0
18,19,  About 20 air targets were shot down over the capital tonight  🇺🇦 Ukraine Now ,1
19,20,  Sounds of explosions that residents of Kiev listen to on New Year's Eve 🤬  🇺🇦 Ukraine Now ,1
20,21,"  ⚡️Night attack on Kyiv. 23 air targets have already been shot down over the capital  In the Dnipro district, rocket fragments were found on the roadway. There are no casualties, according to KMVA.    Air alert continues, stay in shelters! ",1
21,22,  There are also powerful explosions on the left bank. Air defense is working  Aviation has also been raised.    send news👉@novosti_kieva_bot 👉FOLLOW ,1
22,23,  Air defense forces have already destroyed 23 air targets - KMIA  send news👉@novosti_kieva_bot 👉FOLLOW ,1
23,24,"  Actually, here is the sound of the MANPAD missile  send news👉@novosti_kieva_bot 👉FOLLOW ",0
24,25,  Do not worry about it. MANPADS are used to fight drones  send news👉@novosti_kieva_bot 👉FOLLOW ,0
25,26,  Explosions in the capital and the region are still going on - it's caused by the shahids  Already with the help of MANPADS missiles and aviation.    No enemy missiles were registered in our direction.    send news👉@novosti_kieva_bot 👉FOLLOW ,1
26,27,"  According to unconfirmed information, there is a hit  send news👉@novosti_kieva_bot 👉FOLLOW ",1
27,28,"  For those who do not know what a man-portable air defense system is  It fires a directed missile at the UAV. It also has a loud hissing sound. Cheap, relative to SAMs, but also effective.    send news👉@novosti_kieva_bot 👉FOLLOW ",0
28,29,"  Night attack on Kyiv - KMWA  Preliminary information.    Data is being updated.    About 20 air targets were shot down over the capital.    Rocket fragments were found on the roadway in Dniprovske. There were no casualties.    Air alert continues, stay in shelters  send news👉@novosti_kieva_bot 👉FOLLOW ",1
29,30,  Shooting down the right bank  send news👉@novosti_kieva_bot 👉FOLLOW ,1
30,31,"  4 powerful explosions occurred on the right bank  Also reported several on the left bank  Previously, the shahids arrived along the Odesa highway  And Kyiv residents are still chanting  send news👉@novosti_kieva_bot 👉FOLLOW ",1
31,32,"  ❗️There were 23 (!) aerial targets shot down over the capital, - KGVA  Rocket debris on the roadway was recorded in the Dnieper district. The explosions were powerful.    Such is the ""New Year"" for the people of Kiev. But in spite of this, people are shouting from the windows ""Glory to Ukraine. Putin is a dick.""    UA Insider | Subscribe ",1
32,33,"  About 20 air targets were shot down over the capital - KMIA  Rocket fragments were found on the roadway in Dniprovske. There were no casualties.    Air alert continues, stay in shelters  Data is still being updated!  https//t.me/operativnoZSU ",1
33,34,  Clarification from KMWA  Air defense forces have already destroyed 23 air targets. ,1
34,35,"  Muscovy itself has its own New Year's atmosphere, pallbearers beat slaves.    https//t.me/operativnoZSU ",0
